aluno_id,ano,aprovado,proba_aprovacao
A00001,2023,1,0.43574102495186673
A00001,2024,1,0.42154953330712747
A00002,2025,0,0.6458265713887872
A00003,2022,0,0.6242124243359164
A00004,2021,0,0.5953533729869008
A00005,2022,0,0.3454042035786439
A00006,2023,1,0.47044915761384376
A00006,2024,1,0.4374897753340001
A00007,2024,0,0.5229834738597262
A00008,2024,0,0.4226472747654197
A00008,2025,1,0.4429161327233277
A00009,2021,0,0.608359852590538
A00010,2022,0,0.47300999464117927
A00011,2021,0,0.6250813288961039
A00011,2022,0,0.6259865310932174
A00012,2023,0,0.4064749305052722
A00012,2024,0,0.3129448302487658
A00013,2021,0,0.47252209567413456
A00014,2023,0,0.5479874663009701
A00015,2022,0,0.3637443783130982
A00016,2022,0,0.5620307786343158
A00016,2023,1,0.519063717743377
A00017,2025,1,0.6150338962808632
A00018,2022,0,0.4161300840646234
A00019,2023,1,0.5858264637809706
A00020,2024,0,0.41555192933122687
A00021,2025,1,0.5629159385569735
A00022,2022,1,0.5747720257095599
A00022,2023,0,0.5236769478876261
A00023,2023,1,0.6017652095641928
A00023,2024,1,0.6107966526675499
A00024,2021,1,0.43211482424854314
A00024,2022,0,0.4329277085718077
A00025,2021,1,0.5982331308459128
A00025,2022,1,0.47931516643374655
A00026,2021,1,0.4992333712521475
A00026,2022,1,0.4743089670383733
A00027,2024,1,0.5396978472408168
A00028,2023,0,0.5160722528023467
A00029,2024,1,0.3129969092679267
A00030,2025,0,0.5010101616073858
A00031,2022,0,0.6300248201520146
A00031,2023,1,0.6773305376520832
A00031,2024,1,0.6689924217884432
A00032,2024,0,0.5725835573924329
A00033,2021,0,0.5589792387105981
A00033,2022,0,0.5001537472295443
A00034,2023,1,0.5050358739481128
A00035,2022,1,0.370935207961458
A00036,2023,0,0.5656808465873872
A00037,2024,0,0.538754183177699
A00037,2025,1,0.5322552039414328
A00038,2022,0,0.5023222325461414
A00038,2023,0,0.45653606066665753
A00039,2023,0,0.3945631299148997
A00040,2021,0,0.4507683233993594
A00041,2023,0,0.4803248427911603
A00042,2023,0,0.4068211005743975
A00043,2022,0,0.6016858403272202
A00044,2024,0,0.48184524808834567
A00045,2023,0,0.5716516536227576
A00045,2024,1,0.5592769790844246
A00046,2021,1,0.39970777672136576
A00047,2025,1,0.49218492984043966
A00048,2022,1,0.5988310022824818
A00049,2025,1,0.5368156116117556
A00050,2021,0,0.5460278570866012
A00051,2024,1,0.5470064493746687
A00051,2025,1,0.510511101659043
A00052,2023,0,0.45925859310657824
